example_id,transcript_text,word_count,transcription_confidence,question_type,age_group,audio_duration,original_video,ling_word_count,ling_character_count,ling_question_count,ling_has_question,ling_educator_language_score,ling_avg_word_length,ling_avg_sentence_length,ling_sentence_count,ling_avg_word_confidence,ling_text_complexity_score,interact_question_type_score,interact_age_appropriateness,interact_provides_wait_time,interact_creates_response_opportunity,interact_teacher_support_present,interact_overall_interaction_quality
162954537_q6,Are you adding grass to your pond?,7,0.3050441308455034,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 013.MP4,7.0,34.0,1.0,1.0,0.0,4.0,7.0,1.0,0.7999999999999999,1.0,0.5,0.4,1.0,1.0,0.0,0.8333333333333334
56587820_q4,"them together. Pretty cool? What do you think? Okay, so...",10,0.5317438973320855,OEQ,PK,5.0,Structure Activity Video_SUBS.mp4,10.0,58.0,2.0,1.0,0.3333333333333333,4.9,2.5,4.0,0.8,1.0,1.0,0.8,1.0,1.0,0.0,1.0
161765962_q5,"Yes. All about unity, right? We've been talking about unity.",10,0.4682677008888938,CEQ,PK,5.0,Launch Highland Park 004.mp4,10.0,60.0,1.0,1.0,0.3333333333333333,5.1,3.3333333333333335,3.0,0.8,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
162954537_q2,So do you wanna add your flour to your pot?,10,0.6909566606794084,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 013.MP4,10.0,43.0,1.0,1.0,0.0,3.4,10.0,1.0,0.8,1.0,0.5,0.4,1.0,1.0,0.0,0.8333333333333334
163402756_q3,prediction. That's a very good one. You ready? So let's go ahead and read. It says I,17,0.6350486278533936,CEQ,PK,5.0,Book about Flowers SOM SUBS .mp4,17.0,84.0,1.0,1.0,0.6666666666666666,4.0,4.25,4.0,0.8,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
163402756_q2,flowers? Anyone else? What do you think is happening right now?,11,0.49204551472383384,OEQ,PK,5.0,Book about Flowers SOM SUBS .mp4,11.0,63.0,3.0,1.0,0.3333333333333333,4.818181818181818,3.6666666666666665,3.0,0.8,1.0,1.0,0.8,0.0,1.0,0.0,0.6666666666666666
158527927_q2,You're gonna clean it? How are you gonna clean the water? How are you gonna clean the water off? I don't know.,22,0.5821307672036661,OEQ,PK,5.0,CDCSA Wenatchee Center Yasmin 035,22.0,110.0,3.0,1.0,0.3333333333333333,4.045454545454546,5.5,4.0,0.8000000000000003,1.0,1.0,0.8,0.0,1.0,0.0,0.6666666666666666
159878847_q1,Whose hat is it? Do you know?,7,0.7129211823145549,CEQ,PK,4.0,Conflict Management during Outdoor Play,7.0,29.0,2.0,1.0,0.0,3.2857142857142856,3.5,2.0,0.7999999999999999,1.0,0.5,0.8,1.0,0.0,0.0,0.5
159878847_q2,"Whose hat is it? Do you know? OK, but I think Miracle is saying.",14,0.6306989743159368,CEQ,PK,5.0,Conflict Management during Outdoor Play,14.0,64.0,2.0,1.0,0.0,3.642857142857143,4.666666666666667,3.0,0.8000000000000002,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
56587820_q2,What is like a pumpkin about this?,7,0.5987874811345881,OEQ,PK,5.0,Structure Activity Video_SUBS.mp4,7.0,34.0,1.0,1.0,0.3333333333333333,4.0,7.0,1.0,0.7999999999999999,1.0,1.0,0.8,0.0,1.0,0.0,0.6666666666666666
159878847_q3,I'm taking it. Are you giving it to her? No.,10,0.2657599676223028,CEQ,PK,5.0,Conflict Management during Outdoor Play,10.0,44.0,1.0,1.0,0.0,3.5,3.3333333333333335,3.0,0.8,1.0,0.5,0.8,0.0,1.0,0.0,0.5
161765962_q1,together so what are you going to do next are you going to eat it,15,0.6773347589704726,OEQ,PK,5.0,Launch Highland Park 004.mp4,15.0,65.0,0.0,0.0,0.3333333333333333,3.4,15.0,1.0,0.8000000000000003,1.0,1.0,0.8,1.0,0.0,0.0,0.6666666666666666
158527927_q1,You want this one? It has a little,8,0.5384577342442104,CEQ,PK,4.0,CDCSA Wenatchee Center Yasmin 035,8.0,34.0,1.0,1.0,0.0,3.375,8.0,1.0,0.8,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
162954734_q1,sandwich? She has a sandwich right there? Does she have...,10,0.48525458574295044,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 027.MP4,10.0,58.0,2.0,1.0,0.0,4.9,3.3333333333333335,3.0,0.8,1.0,0.5,0.4,1.0,0.0,0.0,0.5
159878847_q4,"I'm going to cry and take it. Okay, Miracle, did you hear that? Alright, what do you want to say?",20,0.5775853565761022,CEQ,PK,5.0,Conflict Management during Outdoor Play,20.0,97.0,2.0,1.0,0.3333333333333333,3.9,6.666666666666667,3.0,0.8000000000000002,1.0,0.5,0.8,0.0,0.0,0.0,0.16666666666666666
161447297_q2,"You put it over both. That's how you spell your name. Okay, which one's the bottom?  Yep.",17,0.5955128025364231,CEQ,PK,5.0,Launch Cascade Vista Breanna 013.MP4,17.0,89.0,1.0,1.0,0.3333333333333333,4.235294117647059,4.25,4.0,0.8,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
162954734_q3,"Jojo, do you have pasta? He's a pasta!",8,0.4875792927212186,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 027.MP4,8.0,38.0,1.0,1.0,0.0,3.875,4.0,2.0,0.8,1.0,0.5,0.4,0.0,1.0,0.0,0.5
56587820_q3,"pumpkin. Yeah, the pumpkin is much bigger, isn't it? So I took the picture.",14,0.645985230155613,CEQ,PK,5.0,Structure Activity Video_SUBS.mp4,14.0,75.0,1.0,1.0,0.0,4.428571428571429,4.666666666666667,3.0,0.8000000000000002,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
163402756_q1,What do you think is going on in this picture right here?,12,0.7682131379842758,OEQ,PK,5.0,Book about Flowers SOM SUBS .mp4,12.0,57.0,1.0,1.0,0.3333333333333333,3.8333333333333335,12.0,1.0,0.8000000000000002,1.0,1.0,0.8,1.0,1.0,0.0,1.0
162954734_q2,She has a sandwich right there. Does she have Cheeto Puffs?,11,0.6387585269080268,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 027.MP4,11.0,59.0,1.0,1.0,0.0,4.454545454545454,5.5,2.0,0.8,1.0,0.5,0.4,1.0,0.0,0.0,0.5
161447297_q3,"How many pencils are there, Javon? You have to clean up your mess.",13,0.5285332306571628,CEQ,PK,5.0,Launch Cascade Vista Breanna 013.MP4,13.0,66.0,1.0,1.0,0.3333333333333333,4.153846153846154,6.5,2.0,0.8000000000000002,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
161765962_q4,What are you thinking over there Harper?,7,0.6815768805417148,OEQ,PK,5.0,Launch Highland Park 004.mp4,7.0,40.0,1.0,1.0,0.3333333333333333,4.857142857142857,7.0,1.0,0.7999999999999999,1.0,1.0,0.8,1.0,1.0,0.0,1.0
162954537_q5,"That's your paw? Can you add grass to your paw, Jason?",11,0.6697371800740559,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 013.MP4,11.0,54.0,2.0,1.0,0.3333333333333333,4.0,5.5,2.0,0.8,1.0,0.5,0.4,1.0,1.0,0.0,0.8333333333333334
161765962_q2,next? Are you gonna eat it?,6,0.4446260278875177,CEQ,PK,5.0,Launch Highland Park 004.mp4,6.0,27.0,2.0,1.0,0.0,3.6666666666666665,3.0,2.0,0.7999999999999999,1.0,0.5,0.8,0.0,0.0,0.0,0.16666666666666666
161524537_q2,Let's look.,2,0.2566603933061872,CEQ,INFANT AND TODDLER,5.0,YWCA Bessie T Draper Jeanette 099.mp4,2.0,11.0,0.0,0.0,0.3333333333333333,5.0,2.0,1.0,0.8,1.0,0.5,0.2,1.0,1.0,0.0,0.8333333333333334
162954537_q1,Can you guys put beans in your pot? Let's all build.,11,0.545566809804816,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 013.MP4,11.0,52.0,1.0,1.0,0.6666666666666666,3.8181818181818183,5.5,2.0,0.8,1.0,0.5,0.4,1.0,1.0,0.0,0.8333333333333334
56587820_q5,but it wasn't as big as our pumpkin. What else reminds you of the pumpkin?,15,0.730036145164853,OEQ,PK,5.0,Structure Activity Video_SUBS.mp4,15.0,74.0,1.0,1.0,0.3333333333333333,4.0,7.5,2.0,0.8000000000000003,1.0,1.0,0.8,1.0,1.0,0.0,1.0
161524537_q1,I said maybe my bear is up in the moon. See the moon?,13,0.5877243518829346,CEQ,INFANT AND TODDLER,5.0,YWCA Bessie T Draper Jeanette 099.mp4,13.0,53.0,1.0,1.0,0.0,3.1538461538461537,6.5,2.0,0.8000000000000002,1.0,0.5,0.2,1.0,1.0,0.0,0.8333333333333334
56587820_q1,So tell me if this reminds you of a pump.,10,0.6638288497924805,CEQ,PK,5.0,Structure Activity Video_SUBS.mp4,10.0,41.0,0.0,0.0,0.3333333333333333,3.2,10.0,1.0,0.8,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
162954734_q4,"Oh, not yummy. Do you have tomatoes? And kiwis!",9,0.43793741861979163,CEQ,TODDLER,5.0,Building Blocks Little School Ladybugs Kaylee 027.MP4,9.0,47.0,1.0,1.0,0.0,4.333333333333333,3.0,3.0,0.8,1.0,0.5,0.4,1.0,1.0,0.0,0.8333333333333334
163402756_q4,"So now, what is this called? What is the arrow pointing to?",12,0.6670020818710327,CEQ,PK,5.0,Book about Flowers SOM SUBS .mp4,12.0,59.0,2.0,1.0,0.3333333333333333,4.0,6.0,2.0,0.8000000000000002,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
161765962_q3,Is there anyone that needs blueberries? Thanks for asking.,9,0.5492386221885681,CEQ,PK,5.0,Launch Highland Park 004.mp4,9.0,58.0,1.0,1.0,0.0,5.555555555555555,4.5,2.0,0.8,1.0,0.5,0.8,1.0,1.0,0.0,0.8333333333333334
161447297_q1,Whoever starts with the water!,5,0.2881967226664225,CEQ,PK,5.0,Launch Cascade Vista Breanna 013.MP4,5.0,30.0,0.0,0.0,0.0,5.2,5.0,1.0,0.8,1.0,0.5,0.8,0.0,0.0,0.0,0.16666666666666666
